zipcode,dbh_mean,curb_ratio,sidewalk_ratio,species_1,species_2,species_3,tree_count,Good,Fair,Poor,issuing_agency_1,issuing_agency_2,issuing_agency_3,penalty_imposed,charge_1,charge_2,charge_3,crime_count,cluster
11205,10.93026941362916,12.56989247311828,1.524,3.0,10.0,14.0,2524,2129,328,67,4.0,19.0,6.0,794.4544870421931,101.0,111.0,3.0,5333,2
11206,7.938717216307452,22.33939393939394,2.0636435958631663,7.0,13.0,2.0,3851,3043,674,134,4.0,18.0,22.0,785.8118423119208,99.0,113.0,111.0,7310,0
11207,9.53876763535512,24.516923076923078,2.233138401559454,3.0,10.0,3.0,8293,6564,1387,342,10.0,18.0,22.0,742.2168150346192,99.0,117.0,109.0,10957,1
11208,8.272577580747308,26.224137931034484,3.894606323620583,5.0,4.0,12.0,7895,6450,1053,392,17.0,18.0,15.0,658.1984635083227,99.0,117.0,71.0,8449,1
11209,14.599898921832883,20.743589743589745,2.670995670995671,3.0,13.0,2.0,5936,5203,588,145,4.0,18.0,25.0,761.3906103286384,101.0,74.0,31.0,5744,1
11210,13.983381642512077,59.88235294117647,1.8702163061564059,3.0,5.0,14.0,5175,4341,618,216,16.0,12.0,8.0,604.9195675105485,104.0,74.0,107.0,4332,0
11211,10.190620272314675,25.61744966442953,2.4072164948453607,3.0,10.0,14.0,3966,3357,493,116,4.0,18.0,15.0,820.5557440072365,99.0,113.0,31.0,9683,0
11212,12.783878213127029,20.65945945945946,1.2689694224235561,3.0,10.0,14.0,4007,3461,451,95,16.0,19.0,15.0,649.7094960433153,99.0,117.0,109.0,5329,0
11213,12.355060034305318,24.532846715328468,2.0,3.0,10.0,14.0,3498,2830,568,100,17.0,12.0,21.0,711.7981132075472,99.0,117.0,114.0,6984,0
11214,12.297349397590361,33.29752066115702,1.4570751924215513,3.0,10.0,14.0,4150,3512,536,102,4.0,22.0,21.0,572.4318438457816,99.0,74.0,111.0,6646,0
11215,11.545040650406504,16.323943661971832,1.6026237833262802,3.0,13.0,12.0,6150,5007,896,247,4.0,18.0,16.0,867.170308967596,28.0,113.0,3.0,7529,1
11216,10.843731778425656,32.960396039603964,2.396039603960396,7.0,4.0,14.0,3430,2765,558,107,4.0,18.0,15.0,911.9120212923259,99.0,113.0,113.0,7601,0
11217,11.794294770206022,54.35087719298246,1.3919636087945413,3.0,10.0,10.0,3155,2411,622,122,19.0,6.0,16.0,604.6958945767866,72.0,73.0,31.0,6480,0
11218,13.431041844577285,32.697841726618705,2.56468797564688,3.0,10.0,3.0,4684,3878,638,168,19.0,6.0,21.0,578.3658427635497,68.0,111.0,73.0,7131,0
11219,12.414359455654623,75.10714285714286,1.725063938618926,3.0,10.0,13.0,4262,3590,530,142,16.0,12.0,8.0,602.7945571810602,99.0,117.0,111.0,6968,0
11220,11.489438202247191,26.8125,1.8598971722365039,3.0,10.0,14.0,4450,3744,535,171,4.0,18.0,25.0,650.9391753582221,99.0,115.0,31.0,11104,0
11221,10.18216740800647,56.51162790697674,1.153243360905529,7.0,4.0,14.0,4946,4058,744,144,16.0,12.0,22.0,709.7731142943003,99.0,117.0,109.0,10937,0
11222,9.474183644990232,46.77333333333333,2.716804979253112,7.0,13.0,4.0,3583,2922,519,142,4.0,18.0,16.0,686.7906737880032,101.0,4.0,31.0,5370,2
11223,15.032375979112272,23.4468085106383,1.7540747842761266,3.0,10.0,2.0,5745,4597,939,209,4.0,18.0,25.0,599.8916954388516,101.0,111.0,71.0,6024,1
11224,7.8433128147733635,10.603896103896103,3.4675,7.0,4.0,2.0,1787,1185,492,110,4.0,19.0,25.0,632.1980234260615,99.0,117.0,109.0,2993,0
11225,12.759942672877106,48.839285714285715,1.5031390134529148,3.0,13.0,1.0,2791,2326,393,72,4.0,19.0,21.0,768.7790968342645,99.0,74.0,112.0,4758,0
11226,11.463302752293577,34.2952380952381,2.3207885304659497,7.0,4.0,14.0,3706,3120,460,126,4.0,18.0,15.0,690.857381848599,99.0,116.0,71.0,7971,0
11228,14.575489925476125,54.738461538461536,1.530027932960894,3.0,2.0,5.0,3623,3048,461,114,4.0,18.0,6.0,728.192429022082,101.0,111.0,73.0,1780,0
11229,15.235844155844156,22.380566801619434,1.8308823529411764,3.0,13.0,5.0,5775,4623,857,295,16.0,6.0,25.0,743.3067059070843,101.0,111.0,113.0,5234,1
11230,13.70981828426539,79.67045454545455,2.3724465558194776,3.0,5.0,13.0,7099,5452,1258,389,19.0,6.0,21.0,417.6198447724852,68.0,111.0,72.0,7222,1
11231,10.020034344590727,22.449664429530202,1.5691176470588235,3.0,10.0,2.0,3494,2677,625,192,4.0,22.0,21.0,722.3399232812039,101.0,83.0,107.0,3766,0
11232,8.085628442663996,28.80597014925373,1.9068413391557497,3.0,13.0,12.0,1997,1653,276,68,16.0,6.0,15.0,670.5005411255411,99.0,118.0,113.0,4096,0
11233,10.383525822619307,20.95693779904306,1.4778617710583153,7.0,4.0,8.0,4589,3952,528,109,10.0,18.0,22.0,510.2317090296307,99.0,117.0,116.0,7741,0
11234,15.837054807159992,21.392561983471076,1.633778857837181,3.0,5.0,9.0,10838,9227,1270,341,16.0,6.0,15.0,659.207561342013,68.0,111.0,113.0,4387,1
11235,12.978794877178249,15.712280701754386,2.900900900900901,3.0,10.0,14.0,4763,3228,1276,259,4.0,22.0,21.0,694.1509293680298,99.0,74.0,109.0,7400,1
11236,14.941714462873973,30.315533980582526,1.0551130933418287,3.0,5.0,12.0,6451,4889,1229,333,16.0,12.0,8.0,587.0311867152693,99.0,116.0,106.0,5391,1
11237,8.388647866955893,137.3,2.444582814445828,7.0,4.0,3.0,2766,1892,665,209,4.0,18.0,15.0,582.4429086538462,99.0,117.0,109.0,7146,0
11238,11.151215602457922,30.191666666666666,2.145378151260504,3.0,10.0,14.0,3743,3030,592,121,4.0,18.0,6.0,915.0576393668273,101.0,111.0,3.0,6519,0
11239,11.144805876180483,1.0672451193058567,9.031578947368422,3.0,10.0,14.0,953,800,100,53,11.0,22.0,8.0,879.156378600823,121.0,133.0,71.0,284,0
11249,8.245694603903559,39.51162790697674,3.207729468599034,7.0,11.0,3.0,1742,1577,126,39,4.0,5.0,15.0,944.2099464903997,99.0,115.0,31.0,3557,2
11354,13.445003594536304,17.92517006802721,3.0,3.0,13.0,2.0,5564,4431,939,194,4.0,22.0,21.0,809.3296641264465,28.0,4.0,42.0,7681,1
11355,12.932705788103345,24.605128205128207,2.4012261580381473,3.0,13.0,2.0,4993,4125,662,206,4.0,22.0,21.0,668.8868894601543,70.0,74.0,42.0,6354,1
11356,11.254921928038017,25.78181818181818,1.753271028037383,5.0,4.0,2.0,2946,2249,587,110,4.0,18.0,25.0,720.661205383265,101.0,76.0,71.0,1835,0
11357,13.125998225377108,29.356902356902356,4.382686567164179,3.0,13.0,2.0,9016,8091,758,167,4.0,22.0,21.0,560.9825493171472,101.0,83.0,110.0,1471,1
11358,15.018579562481271,47.36231884057971,3.4375,3.0,13.0,5.0,6674,5901,606,167,4.0,18.0,22.0,839.960830395613,105.0,110.0,31.0,2720,1
11360,14.194154488517745,46.9,2.6846153846153844,3.0,13.0,5.0,2395,1882,431,82,4.0,5.0,25.0,1147.506329113924,3.0,43.0,104.0,447,2
11361,14.5,19.98233215547703,2.570655441972339,3.0,13.0,2.0,5938,4891,814,233,4.0,18.0,15.0,812.508060801474,105.0,4.0,42.0,2375,1
11362,14.487919305653296,20.0,5.671361502347418,3.0,13.0,5.0,4263,3693,462,108,4.0,5.0,22.0,911.1879049676025,39.0,4.0,27.0,1008,2
11363,13.156352984254852,20.848,3.8594306049822062,9.0,7.0,2.0,2731,2004,567,160,4.0,5.0,12.0,1582.7100840336134,102.0,77.0,31.0,260,2
11364,15.603030753231318,26.032128514056225,3.493324432576769,3.0,13.0,5.0,6731,5555,923,253,4.0,22.0,21.0,573.0083682008368,102.0,76.0,128.0,1359,1
11365,14.84371492704826,14.26338329764454,3.356968215158924,3.0,13.0,5.0,7128,5959,925,244,19.0,6.0,21.0,568.7951450562463,70.0,74.0,106.0,1865,1
11366,14.883299110198495,55.19230769230769,3.247093023255814,3.0,5.0,14.0,2922,2561,312,49,4.0,18.0,25.0,733.7215909090909,101.0,43.0,27.0,1326,0
11367,13.864531529739407,26.026881720430108,2.532677442023893,3.0,13.0,5.0,5027,4357,555,115,16.0,22.0,8.0,369.7630331753555,98.0,108.0,71.0,2730,0
11368,11.045344325897187,22.838150289017342,2.592334494773519,1.0,4.0,14.0,4124,3296,628,200,4.0,18.0,25.0,663.5934688736955,99.0,76.0,71.0,11690,0
11369,12.84190354519323,22.192592592592593,2.781400966183575,9.0,5.0,4.0,3131,2623,396,112,19.0,6.0,21.0,760.5371065550102,76.0,111.0,73.0,3649,0
11370,13.858087992060867,38.25974025974026,2.1720881427072403,3.0,5.0,14.0,3023,2433,433,157,19.0,18.0,24.0,394.8420153714774,68.0,83.0,73.0,2430,0
11371,11.85344827586207,1.1090909090909091,1.9,7.0,6.0,14.0,116,98,14,4,4.0,1.0,2.0,802.4691358024692,3.0,31.0,42.0,81,2
11372,11.439619651347067,72.37209302325581,2.024928092042186,7.0,4.0,13.0,3155,2510,503,142,4.0,22.0,21.0,697.7915400794578,68.0,31.0,3.0,8943,2
11373,12.256103637269556,36.867924528301884,1.8671428571428572,7.0,13.0,11.0,4014,3146,696,172,19.0,6.0,21.0,563.4221762194333,68.0,76.0,107.0,8116,0
11374,12.893434169817807,24.295652173913044,1.340305711987128,7.0,4.0,14.0,2909,2300,482,127,4.0,22.0,21.0,567.3539445628998,70.0,74.0,109.0,2553,0
11375,13.22797389498665,32.54228855721393,2.3442460317460316,3.0,13.0,5.0,6742,5566,981,195,4.0,22.0,21.0,685.0967189030363,28.0,4.0,42.0,4458,1
11377,12.277500462192641,31.005917159763314,1.946078431372549,3.0,10.0,14.0,5409,4435,764,210,19.0,6.0,24.0,354.1067411372275,72.0,83.0,71.0,13374,0
11378,12.740848037924678,19.524324324324326,1.340937114673243,3.0,10.0,14.0,3797,2995,703,99,16.0,6.0,25.0,603.9992787594663,98.0,107.0,107.0,2989,0
11379,13.960351478782684,18.523012552301257,1.6184062850729517,3.0,13.0,2.0,4666,3915,636,115,4.0,22.0,21.0,598.9521912350598,76.0,113.0,110.0,1385,1
11385,12.116643929058663,44.00877192982456,1.5470340034748076,7.0,4.0,5.0,10262,7428,2148,686,4.0,18.0,25.0,644.156246206143,99.0,110.0,103.0,8782,1
11411,14.076118915387129,33.39325842696629,2.067134268537074,3.0,2.0,5.0,3061,2537,384,140,16.0,6.0,15.0,975.2037489812551,98.0,107.0,113.0,1301,0
11412,14.570593525179856,157.85714285714286,2.027910142954391,3.0,7.0,14.0,4448,4112,283,53,16.0,12.0,8.0,1143.2781717888101,98.0,117.0,107.0,2782,0
11413,12.504914349901712,20.98148148148148,3.9185082872928176,7.0,5.0,9.0,7122,5895,948,279,16.0,12.0,8.0,1091.6530612244899,98.0,117.0,107.0,2634,1
11414,12.275964391691394,48.78409090909091,5.442647058823529,3.0,2.0,14.0,4381,3487,709,185,4.0,18.0,6.0,828.0221653878942,3.0,114.0,31.0,1273,2
11415,16.20828331332533,29.29090909090909,1.6360759493670887,9.0,5.0,4.0,1666,1199,350,117,4.0,22.0,21.0,933.9665653495441,68.0,113.0,73.0,1455,0
11416,15.898830409356725,23.08450704225352,1.348901098901099,9.0,4.0,5.0,1710,1417,240,53,16.0,22.0,22.0,819.6816091954023,99.0,110.0,71.0,2731,0
