zipcode,dbh_mean,curb_ratio,sidewalk_ratio,species_1,species_2,species_3,tree_count,Good,Fair,Poor,issuing_agency_1,issuing_agency_2,issuing_agency_3,penalty_imposed,charge_1,charge_2,charge_3,crime_count,cluster
10032,8.376447876447877,14.696969696969697,4.041362530413625,7.0,13.0,8.0,2072,1481,418,173,16.0,6.0,25.0,636.1763674614306,70.0,106.0,111.0,6181,0
10033,8.174946004319654,58.74193548387097,1.9350237717908083,7.0,13.0,8.0,1852,1301,414,137,10.0,6.0,21.0,533.9347314778519,106.0,112.0,73.0,5444,0
10034,7.092961487383798,19.08,12.690909090909091,2.0,10.0,8.0,1506,1013,378,115,4.0,22.0,21.0,627.4752346193952,107.0,76.0,80.0,4233,0
10035,8.350989834135902,26.485294117647058,2.2058319039451115,7.0,2.0,14.0,1869,1438,292,139,16.0,12.0,8.0,638.1363278171789,97.0,111.0,108.0,4235,0
10036,7.866342648845687,47.411764705882355,2.117424242424242,7.0,8.0,2.0,823,605,158,60,4.0,13.0,6.0,1011.6168891238271,3.0,31.0,42.0,8751,2
10037,8.784522003034901,8.152777777777779,2.9226190476190474,7.0,4.0,10.0,659,512,114,33,4.0,13.0,25.0,655.7537562604341,68.0,111.0,3.0,1353,2
10038,8.00561797752809,2.912087912087912,10.866666666666667,7.0,8.0,4.0,356,251,87,18,4.0,13.0,6.0,1040.9736428009442,3.0,43.0,31.0,2996,2
10039,8.967616580310882,28.692307692307693,2.958974358974359,9.0,10.0,2.0,772,664,92,16,19.0,6.0,24.0,629.421052631579,68.0,76.0,111.0,1630,0
10040,7.581667815299793,31.244444444444444,2.664141414141414,7.0,3.0,14.0,1451,1012,337,102,19.0,18.0,8.0,457.7089552238806,107.0,76.0,107.0,3182,0
10065,8.891316220644457,41.58139534883721,2.3844731977818854,7.0,2.0,10.0,1831,1217,457,157,4.0,13.0,6.0,973.1565307532827,3.0,31.0,128.0,3487,2
10069,4.955357142857143,2.7333333333333334,1.0,9.0,12.0,4.0,112,56,55,1,4.0,13.0,12.0,631.5540540540541,123.0,4.0,42.0,83,2
10075,9.795637198622273,173.2,1.3103448275862069,7.0,2.0,10.0,871,647,147,77,4.0,22.0,16.0,684.3156544054748,76.0,4.0,31.0,2559,2
10111,8.16,1.0,1.5,7.0,10.0,12.0,25,22,3,0,4.0,17.0,19.0,280.55555555555554,93.0,31.0,100.0,21,2
10128,9.599803343166174,34.06896551724138,1.7228915662650603,7.0,2.0,10.0,2034,1502,394,138,4.0,18.0,15.0,769.5371041817742,96.0,4.0,109.0,4567,2
10280,8.155555555555555,3.3548387096774195,201.5,1.0,10.0,3.0,405,349,40,16,4.0,13.0,3.0,920.8201058201058,3.0,132.0,134.0,244,2
10281,7.71830985915493,1.6296296296296295,1.0,8.0,1.0,1.0,71,48,20,3,11.0,6.0,20.0,667.96875,123.0,131.0,3.0,40,2
10282,7.930434782608696,7.518518518518518,1.0,10.0,10.0,13.0,230,216,12,2,12.0,15.0,8.0,388.77252252252254,86.0,98.0,96.0,485,0
10301,13.175462882851704,14.661246612466124,2.547575199508901,3.0,2.0,14.0,5779,4776,782,221,10.0,18.0,8.0,578.7318553708102,105.0,118.0,109.0,4187,0
10302,11.391380060949064,15.766423357664234,2.692926045016077,3.0,13.0,9.0,2297,2054,177,66,10.0,6.0,21.0,688.6231224396905,105.0,118.0,110.0,2335,0
10303,8.30586319218241,20.619718309859156,4.293103448275862,1.0,7.0,12.0,3070,2318,534,218,10.0,18.0,8.0,413.6775631500743,105.0,114.0,114.0,2859,0
10304,11.128450106157112,26.436893203883496,2.454767726161369,3.0,2.0,14.0,5652,4738,720,194,10.0,18.0,8.0,500.7538601271571,99.0,117.0,109.0,3607,0
10305,10.613865862848531,20.897689768976896,3.093152375077113,1.0,13.0,9.0,6635,5496,887,252,4.0,18.0,15.0,614.0794728434505,101.0,117.0,106.0,2759,1
10306,13.3464648065948,27.286995515695068,3.118837740777016,3.0,2.0,14.0,12616,10446,1801,369,16.0,12.0,8.0,545.658389766742,105.0,114.0,109.0,2985,1
10307,9.68691059977367,32.77070063694268,4.807228915662651,1.0,14.0,15.0,5302,4548,578,176,4.0,12.0,16.0,643.8532110091743,101.0,1.0,31.0,505,1
10308,11.02527181898325,28.085470085470085,2.620212765957447,1.0,14.0,15.0,6806,5223,1246,337,4.0,18.0,15.0,589.9327122153209,101.0,114.0,113.0,1053,1
10309,8.870714580751756,26.202247191011235,4.6991525423728815,1.0,14.0,5.0,12105,9889,1623,593,4.0,13.0,21.0,764.9944506104329,101.0,4.0,128.0,1027,1
10310,12.069547796222095,13.805084745762711,2.5872689938398357,3.0,2.0,9.0,3494,3162,253,79,10.0,18.0,8.0,540.7878500237305,106.0,117.0,106.0,2262,0
10312,9.823375163888368,27.937669376693766,4.305838509316771,1.0,14.0,15.0,21356,16691,3594,1071,4.0,18.0,15.0,641.9532509403547,101.0,110.0,104.0,1984,1
10314,11.037721984078383,38.63592233009709,2.877938731892662,1.0,4.0,14.0,16330,13328,2340,662,4.0,18.0,15.0,601.0473946059178,101.0,110.0,110.0,4248,1
10451,7.599470666078518,12.414201183431953,3.0266429840142095,7.0,3.0,4.0,2267,1632,448,187,4.0,22.0,16.0,702.3775327006925,99.0,74.0,73.0,4323,2
10452,8.336748182419035,16.096045197740114,2.522700814901048,7.0,13.0,2.0,3026,2288,570,168,19.0,19.0,8.0,381.5104522475748,76.0,85.0,107.0,7754,0
10453,7.536534446764092,34.925,2.2958715596330275,7.0,3.0,14.0,2874,2249,520,105,19.0,19.0,8.0,433.204542400215,99.0,83.0,73.0,7980,0
10454,7.868595539481616,18.290697674418606,1.4761194029850746,7.0,4.0,8.0,1659,1297,302,60,17.0,6.0,16.0,575.6463337547408,99.0,113.0,111.0,3530,0
